cgpa,project_score,sports_score,internships,certifications,workshops,clubs,problemSolvingRank,extraPoints,coPoints,attendance,tier
7.5,411,208,0,1,0,1,1829,86,44,96,2
9.8,277,365,1,5,0,0,2334,22,47,73,2
8.93,492,166,2,2,4,2,877,29,63,76,1
8.39,15,245,1,5,2,3,76,100,59,68,1
6.62,12,244,2,5,4,0,1435,41,18,83,2
6.62,355,165,2,4,5,2,2298,19,58,69,2
6.23,355,295,0,2,2,4,2126,10,41,85,2
9.46,317,402,3,1,3,3,2815,87,100,63,2
8.4,426,210,4,0,2,1,885,56,14,63,1
8.83,86,491,3,7,1,4,2945,81,50,86,2
6.08,77,132,2,4,2,4,1018,26,81,74,2
9.88,415,196,3,4,4,4,1650,52,79,74,1
9.33,66,397,2,0,0,2,1905,6,34,71,2
6.85,346,346,1,4,0,0,840,47,59,90,1
6.73,210,48,1,4,2,4,1256,84,10,71,2
6.73,213,63,0,4,3,0,2586,78,6,94,2
7.22,184,111,4,7,0,4,1882,71,29,69,1
8.1,448,355,1,7,5,2,2737,91,45,79,2
7.73,452,184,4,2,0,0,428,84,4,82,1
7.16,432,103,0,2,5,1,2603,71,65,83,2
8.45,32,418,4,3,5,3,49,91,44,75,1
6.56,114,212,1,3,5,4,180,97,0,62,2
7.17,274,4,1,2,0,4,327,78,18,66,1
7.47,419,118,3,4,3,2,672,36,54,62,1
7.82,498,343,3,1,4,3,1642,90,46,85,1
9.14,197,248,3,0,2,0,113,40,22,74,1
6.8,379,166,4,3,5,4,1274,25,37,61,1
8.06,142,382,1,6,3,1,530,75,15,71,1
8.37,227,241,0,6,2,1,2006,62,13,90,2
6.19,119,279,2,4,1,2,1821,97,67,65,2
8.43,352,423,1,6,5,4,1696,94,5,91,1
6.68,23,362,3,3,2,2,182,2,3,66,1
6.26,26,237,3,7,5,3,497,89,68,91,1
9.8,432,305,4,5,0,1,2644,56,34,84,1
9.86,74,204,3,7,3,1,2731,53,25,74,1
9.23,240,485,4,1,5,2,681,69,8,78,1
7.22,22,492,0,5,3,3,904,57,48,98,2
6.39,160,313,3,4,4,0,2859,19,68,96,2
8.74,40,0,4,6,1,3,2995,50,24,79,2
7.76,237,170,3,7,4,2,136,39,44,79,1
6.49,238,166,4,2,4,2,1661,16,81,73,1
7.98,55,393,1,1,1,3,1454,40,29,85,2
6.14,412,257,4,3,0,2,545,64,59,65,1
9.64,414,62,2,6,3,1,314,12,31,66,1
7.04,448,271,0,7,2,2,2127,81,98,69,2
8.65,97,36,1,4,1,0,350,63,83,85,1
7.25,145,15,0,7,4,1,1989,84,30,68,2
8.08,465,253,1,5,2,4,83,51,83,63,1
8.19,261,342,3,7,5,1,874,11,90,82,1
6.74,435,345,4,4,1,1,2699,63,49,70,1
9.88,39,335,3,0,5,1,485,43,60,84,1
9.1,192,26,0,6,1,3,330,11,16,92,1
9.76,238,446,0,0,0,4,2928,25,50,67,2
9.58,41,110,1,5,5,0,2688,41,14,70,2
8.39,221,232,0,0,0,1,1953,27,11,89,2
9.69,195,477,4,2,3,3,445,43,10,81,1
6.35,287,63,0,4,3,2,1112,88,71,62,2
6.78,9,96,3,4,2,4,1565,84,66,94,2
6.18,234,415,4,3,3,0,1767,47,96,65,1
7.3,324,392,0,6,5,4,1179,49,24,97,2
7.55,264,266,2,7,5,0,2062,10,37,79,1
7.09,68,484,2,6,1,0,509,72,80,100,1
9.31,444,325,3,6,1,2,549,98,95,72,1
7.43,138,413,1,2,1,0,1508,35,48,88,2
7.12,354,231,1,6,5,2,1240,28,21,96,1
8.17,218,398,0,6,1,1,1073,39,66,89,1
6.56,195,442,4,6,0,4,1771,16,23,98,1
9.21,73,47,1,0,1,0,2810,36,83,80,2
6.3,102,349,2,4,1,2,2013,48,61,79,2
9.95,224,209,1,0,1,1,2063,71,14,78,2
9.09,122,75,2,1,4,4,517,52,44,84,1
6.79,101,246,1,2,5,1,1006,68,40,93,2
6.02,263,315,3,0,5,3,2791,22,5,99,2
9.26,432,67,4,2,2,4,1837,53,49,63,1
8.83,407,312,0,7,5,2,897,9,41,72,1
8.92,486,63,2,5,2,0,2351,46,65,62,1
9.09,160,181,1,6,1,2,290,78,96,70,1
6.3,232,79,0,4,5,2,1000,79,77,96,2
7.43,490,342,2,1,1,2,136,26,59,79,1
6.46,274,202,2,3,2,4,238,31,7,93,1
9.45,257,181,3,6,3,4,87,55,81,67,1
8.49,310,442,1,1,4,3,2276,50,8,73,2
7.32,138,471,0,2,4,1,2853,45,56,82,3
6.25,226,213,1,1,5,2,430,34,73,65,2
7.24,272,422,1,4,3,3,763,100,26,67,1
7.3,425,119,4,2,1,3,1604,87,39,73,1
8.92,316,398,2,6,2,4,1735,30,73,81,1
8.55,386,240,2,2,4,1,1508,34,82,81,1
9.55,85,334,4,4,3,3,598,79,27,85,1
7.89,290,201,4,5,3,0,1899,61,76,70,1
6.48,468,411,1,0,0,3,2539,35,88,73,2
8.85,216,291,2,7,5,4,1839,75,24,77,1
9.04,358,53,0,3,3,2,2085,59,9,67,2
8.25,65,144,3,7,0,4,200,79,30,70,1
9.08,256,355,4,5,0,4,1492,48,4,93,1
7.98,134,85,0,6,5,1,2091,68,77,61,2
8.09,403,470,0,5,4,0,1305,68,78,77,1
7.71,426,476,1,7,1,0,2802,19,27,71,2
6.1,374,21,4,1,1,1,2534,47,72,62,2
6.43,389,330,0,6,3,1,2706,37,71,80,2
6.13,54,291,3,6,2,3,1971,99,12,78,2
8.55,355,235,0,5,2,0,764,54,70,63,1
7.26,242,28,3,3,0,4,302,95,67,93,1
8.03,251,182,3,6,5,3,2763,10,20,73,2
9.63,20,425,3,7,3,0,1979,74,16,85,1
7.0,306,159,4,6,3,2,334,48,52,87,1
7.64,429,397,3,3,1,4,1278,91,1,76,1
9.02,162,17,4,5,2,4,854,11,32,79,1
